building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
1500 Mass,"1500 Massachusetts Ave NW, Washington, DC","1500 Mass is in the middle of three distinguished DC neighborhoods: Dupont Circle, Golden Triangle and Logan Circle. Walking distance from the Dupont Circle Metro, 1500 Mass offers in-unit laundry facilities, garages and hardwood floors.",52 Units Available,Studio,"$1,427",456 sqft
1500 Mass,"1500 Massachusetts Ave NW, Washington, DC","1500 Mass is in the middle of three distinguished DC neighborhoods: Dupont Circle, Golden Triangle and Logan Circle. Walking distance from the Dupont Circle Metro, 1500 Mass offers in-unit laundry facilities, garages and hardwood floors.",52 Units Available,1 Bedroom,"$1,677",610 sqft
Park Connecticut,"4411 Connecticut Ave NW, Washington, DC","Fuse urban living with the open spaces of Rock Creek Park, and what you get is the stunningly beautiful Park Connecticut Apartments. Close to the Van Ness Metro, you'll enjoy marble interiors and rooftop Jacuzzis.",13 Units Available,1 Bedroom,"$2,078",762 sqft
Park Connecticut,"4411 Connecticut Ave NW, Washington, DC","Fuse urban living with the open spaces of Rock Creek Park, and what you get is the stunningly beautiful Park Connecticut Apartments. Close to the Van Ness Metro, you'll enjoy marble interiors and rooftop Jacuzzis.",13 Units Available,2 Bedrooms,"$2,876",1182 sqft
3003 Van Ness,"3003 Van Ness St NW, Washington, DC","Amenities at 3003 Van Ness are rarely rivaled in Washington, D.C. Clubhouse, media room and Olympic-sized swimming pool, to name a few. Recently renovated and near Connecticut Avenue. Expect 24-hour gym and internet access.",29 Units Available,Studio,"$1,397",673 sqft
3003 Van Ness,"3003 Van Ness St NW, Washington, DC","Amenities at 3003 Van Ness are rarely rivaled in Washington, D.C. Clubhouse, media room and Olympic-sized swimming pool, to name a few. Recently renovated and near Connecticut Avenue. Expect 24-hour gym and internet access.",29 Units Available,1 Bedroom,"$1,867",936 sqft
3003 Van Ness,"3003 Van Ness St NW, Washington, DC","Amenities at 3003 Van Ness are rarely rivaled in Washington, D.C. Clubhouse, media room and Olympic-sized swimming pool, to name a few. Recently renovated and near Connecticut Avenue. Expect 24-hour gym and internet access.",29 Units Available,2 Bedrooms,"$2,569",1335 sqft
100K,"100 K Street Northeast, Washington, DC","At the gateway of NoMa, 100K Apartments welcomes residents who crave a living experience that is elegant, refined and walkable to some of DC's best amenities. An intimate ground floor courtyard and private rooftop exudes sophistication.",16 Units Available,Studio,"$1,750",447 sqft
100K,"100 K Street Northeast, Washington, DC","At the gateway of NoMa, 100K Apartments welcomes residents who crave a living experience that is elegant, refined and walkable to some of DC's best amenities. An intimate ground floor courtyard and private rooftop exudes sophistication.",16 Units Available,1 Bedroom,"$1,925",689 sqft
100K,"100 K Street Northeast, Washington, DC","At the gateway of NoMa, 100K Apartments welcomes residents who crave a living experience that is elegant, refined and walkable to some of DC's best amenities. An intimate ground floor courtyard and private rooftop exudes sophistication.",16 Units Available,2 Bedrooms,"$2,715",990 sqft
455 Eye Street,"455 I St NW, Washington, DC","Unique apartment community in Mount Vernon Triangle. Mix of studios, lofts and townhomes. Community rooftop pool, 24-hour fitness center, inside and outside resident lounges. Stainless steel appliances, quartz countertops, subway tile in showers.",9 Units Available,Studio,"$1,759",569 sqft
455 Eye Street,"455 I St NW, Washington, DC","Unique apartment community in Mount Vernon Triangle. Mix of studios, lofts and townhomes. Community rooftop pool, 24-hour fitness center, inside and outside resident lounges. Stainless steel appliances, quartz countertops, subway tile in showers.",9 Units Available,1 Bedroom,"$2,180",829 sqft
455 Eye Street,"455 I St NW, Washington, DC","Unique apartment community in Mount Vernon Triangle. Mix of studios, lofts and townhomes. Community rooftop pool, 24-hour fitness center, inside and outside resident lounges. Stainless steel appliances, quartz countertops, subway tile in showers.",9 Units Available,2 Bedrooms,"$3,198",1059 sqft
Connecticut Heights,"4850 Connecticut Ave NW, Washington, DC","Studios and 1-2 bedroom apartments available in mid-rise, vintage-style complex. Conveniently located to bus stop and Van Ness Metro. Recently renovated with hardwood floors and dishwasher.",34 Units Available,Studio,"$1,268",458 sqft
Connecticut Heights,"4850 Connecticut Ave NW, Washington, DC","Studios and 1-2 bedroom apartments available in mid-rise, vintage-style complex. Conveniently located to bus stop and Van Ness Metro. Recently renovated with hardwood floors and dishwasher.",34 Units Available,1 Bedroom,"$1,560",582 sqft
Connecticut Heights,"4850 Connecticut Ave NW, Washington, DC","Studios and 1-2 bedroom apartments available in mid-rise, vintage-style complex. Conveniently located to bus stop and Van Ness Metro. Recently renovated with hardwood floors and dishwasher.",34 Units Available,2 Bedrooms,"$2,000",822 sqft
The Flats at Dupont Circle,"2000 N St NW, Washington, DC","Spacious apartments with gas stoves, walk-in closets and stainless steel appliances. Amenities include 24-hour gym, laundry, concierge and maintenance services. Pool, hot tub and yoga studio. Pet-friendly and green community. Located SW of Dupont Circle.",21 Units Available,Studio,"$1,891",490 sqft
The Flats at Dupont Circle,"2000 N St NW, Washington, DC","Spacious apartments with gas stoves, walk-in closets and stainless steel appliances. Amenities include 24-hour gym, laundry, concierge and maintenance services. Pool, hot tub and yoga studio. Pet-friendly and green community. Located SW of Dupont Circle.",21 Units Available,1 Bedroom,"$2,164",711 sqft
The Flats at Dupont Circle,"2000 N St NW, Washington, DC","Spacious apartments with gas stoves, walk-in closets and stainless steel appliances. Amenities include 24-hour gym, laundry, concierge and maintenance services. Pool, hot tub and yoga studio. Pet-friendly and green community. Located SW of Dupont Circle.",21 Units Available,2 Bedrooms,"$4,010",1052 sqft
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8 Units Available,Studio,Ask,NA
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8 Units Available,1 Bedroom,"$2,428",761 sqft
