apt_rent,apt_footage,rooms,distance_wh,distance_cap,building_units_available,adj_open,adj_large,adj_private,adj_great,adj_new,adj_beautiful,adj_high,adj_natural,adj_historic,adj_newly,adj_short,adj_ready,adj_furnished,adj_convenient,adj_windows
1427,456,1,933,2966,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,610,2,933,2966,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,762,2,5893,7877,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2876,1182,3,5893,7877,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2078,762,2,5893,7877,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2876,1182,3,5893,7877,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1397,673,1,5540,7509,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,936,2,5540,7509,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2569,1335,3,5540,7509,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750,447,1,2663,1449,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1925,689,2,2663,1449,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2715,990,3,2663,1449,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1759,569,1,1559,1513,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,829,2,1559,1513,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3198,1059,3,1559,1513,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,458,1,6740,8718,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1560,582,2,6740,8718,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,822,3,6740,8718,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1891,490,1,1320,3713,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2164,711,2,1320,3713,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,1052,3,1320,3713,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,480,1,4685,7041,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2428,761,2,4685,7041,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3753,1150,3,4685,7041,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1311,480,1,4685,7041,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
