building_address,latitude,longitude
"1500 Massachusetts Ave NW, Washington, DC",38.90646479999999,-77.0355333
"4411 Connecticut Ave NW, Washington, DC",38.9462151,-77.06404659999998
"3003 Van Ness St NW, Washington, DC",38.9437227,-77.06123339999998
"100 K Street Northeast, Washington, DC",38.90286469999999,-77.0053473
"455 I St NW, Washington, DC",38.901501200000006,-77.0180106
"4850 Connecticut Ave NW, Washington, DC",38.95285620000001,-77.06890329999999
"2000 N St NW, Washington, DC",38.9070561,-77.04540000000001
"3700 Massachusetts Ave NW, Washington, DC",38.927775700000005,-77.07380479999998
"2601 Woodley Pl NW, Washington, DC",38.9238808,-77.05019490000001
"2501 Porter St NW, Washington, DC",38.9354574,-77.0539728
"2727 29th St NW, Washington, DC",38.92426469999999,-77.05687619999998
"1616 18th St NW, Washington, DC",38.91220029999999,-77.04194150000001
"425 Massachusetts Ave NW, Washington, DC",38.9008429,-77.0170211
"2400 M St NW, Washington, DC",38.905133500000005,-77.05217429999998
"1210 Massachusetts Ave NW, Washington, DC",38.904179,-77.028713
"2121 First Street SW, Washington, DC",38.8637898,-77.01219019999998
"1250 Half Street Southeast, Washington, DC",38.8755411,-77.00727380000001
"201 I St NE, Washington, DC",38.9009036,-77.0032763
"1331 Maryland Avenue Southwest, Washington, DC",38.884096500000005,-77.0310022
"555 E Street Southwest, Washington, DC",38.88370889999999,-77.01954649999998
"22 M Street Northeast, Washington, DC",38.905807200000005,-77.0080712
"1270 4th Street Northeast, Washington, DC",38.9088436,-76.99967679999999
"1315 W St NW, Washington, DC",38.919433700000006,-77.03098879999999
"950 Maine Ave SW, Washington, DC",38.880499,-77.0254582
"2512 Q St NW, Washington, DC",38.9102773,-77.05332779999998
"222 M Street Southwest, Washington, DC",38.87628,-77.0147471
"1441 U Street Northwest, Washington, DC",38.91721210000001,-77.0335448
"1825 7th St NW, Washington, DC",38.9149324,-77.02160359999998
"625 H St NE, Washington, DC",38.899752,-76.997337
"1011 1st St SE, Washington, DC",38.8781716,-77.006202
"1550 7th St NW, Washington, DC",38.910506299999994,-77.02222119999998
"61 Pierce Street, Washington, DC",38.9044341,-77.0073401
"1212 4th St SE, Washington, DC",38.8754425,-77.0000458
"301 Tingey St SE, Washington, DC",38.874325899999995,-77.0014099
"1631 S St NW, Washington, DC",38.9142605,-77.03814090000002
"1722 19th St NW, Washington, DC",38.913425,-77.043635
"910 15th St NW, Washington, DC",38.901713,-77.0349427
"2101 16th St NW, Washington, DC",38.918619899999996,-77.03619909999999
"2 I Street Southeast, Washington, DC",38.8797539,-77.0082704
"130 M St NE, Washington, DC",38.9058395,-77.00498990000001
"949 First Street SE, Washington, DC",38.8788507,-77.0060462
"82 I St SE, Washington, DC",38.8796101,-77.00557090000001
"1631 Kalorama Rd NW, Washington, DC",38.921983000000004,-77.03824300000001
"1400 20th St NW, Washington, DC",38.90904099999999,-77.0451291
"1001 4th St SW, Washington, DC",38.878465399999996,-77.0178531
"1011 4th St NW, Washington, DC",38.903440100000005,-77.01598609999998
"3032 Rodman Street Northwest, Washington, DC",38.9381593,-77.0616588
"1901 C Street SE, Washington, DC",38.885348,-76.97728520000001
"3801 Georgia Ave NW, Washington, DC",38.937893200000005,-77.02428619999998
"315 H Street Northeast, Washington, DC",38.899916,-77.001414
"515 9th Street NW, Washington, DC",38.89678920000001,-77.0237976
"1234 Massachusetts Ave NW, Washington, DC",38.9041649,-77.02936940000001
"965 Florida Avenue Northwest, Washington, DC",38.91955979999999,-77.02480349999998
"1263 First Street Southeast, Washington, DC",38.87507,-77.006241
"71 Potomac Avenue Southeast, Washington, DC",38.8710407,-77.00767059999998
"1350 R St NW, Washington, DC",38.912407,-77.03164799999998
"901 W Street Northwest, Washington, DC",38.9192987,-77.02522640000001
"880 P St NW, Washington, DC",38.90940620000001,-77.02345859999998
"1401 S St NW, Washington, DC",38.9142544,-77.0322709
"400 8th St NW, Washington, DC",38.894968299999995,-77.0232515
"565 Pennsylvania Ave NW, Washington, DC",38.893294299999994,-77.01965200000001
"3401 Idaho Ave NW, Washington, DC",38.935191700000004,-77.07351690000002
"770 Maine Ave SW, Washington, DC",38.8793468,-77.0241011
"425 L St NW, Washington, DC",38.9040838,-77.0173339
"1717 R St NW, Washington, DC",38.91292139999999,-77.03918290000001
"3900 16th St NW, Washington, DC",38.939341600000006,-77.03715129999998
"1830 R Street Northwest, Washington, DC",38.912446,-77.04321800000001
"1610 16th St NW, Washington, DC",38.91148079999999,-77.0369714
"2700 Woodley Rd NW, Washington, DC",38.9251494,-77.0557718
"1150 4th St SW, Washington, DC",38.877445,-77.01627859999998
"510 21st St NW, Washington, DC",38.896459899999996,-77.04699389999998
"901 H Street Northeast, Washington, DC",38.899879999999996,-76.99378399999998
"1221 Half Street Southeast, Washington, DC",38.8755222,-77.0075121
"6939 Georgia Ave NW, Washington, DC",38.9749544,-77.0265354
"733 15th St NW, Washington, DC",38.899862,-77.0330295
"1425 P St NW, Washington, DC",38.9098684,-77.03286370000002
"1445 P St NW, Washington, DC",38.9098924,-77.0335528
"5521 Colorado Ave NW, Washington, DC",38.9569006,-77.03211340000001
"1315 Clifton Street Northwest, Washington, DC",38.9227908,-77.03069640000001
"2101 Wisconsin Avenue Northwest, Washington, DC",38.91771,-77.06833
"6101 16th St NW, Washington, DC",38.964818,-77.03560449999998
"2228 Martin Luther King Junior Avenue Southeast, Washington, DC",38.863372,-76.990414
"1357 R Street, Washington, DC",38.9127472,-77.0312844
"2144 California St NW, Washington, DC",38.916045600000004,-77.0483059
"35 E St NW, Washington, DC",38.8963903,-77.01062689999998
"200 Rhode Island Ave NE, Washington, DC",38.9191422,-77.00321009999998
