building_address,latitude,longitude
"1414 Belmont Street Northwest, Washington, DC",38.9204883,-77.0321917
"4100 W Street Northwest, Washington, DC",38.9192397,-77.0817637
"405 Florida Avenue Northwest, Washington, DC",38.914536,-77.017319
"3446 Connecticut Avenue Northwest, Washington, DC",38.9353815,-77.0590098
"318 10th Street Northeast, Washington, DC",38.8941239,-76.9928937
"2401 Calvert Street Northwest, Washington, DC",38.9238776,-77.05322170000001
"3330 Alden Place Northeast, Washington, DC",38.8914502,-76.95929890000001
"21 Randle Circle Southeast, Washington, DC",38.8774401,-76.9609529
"2428 20th Street Northwest, Washington, DC",38.9216353,-77.0472601
"614 11th Street Northeast, Washington, DC",38.8977265,-76.9917462
"4002 New Hampshire Avenue Northwest, Washington, DC",38.9400748,-77.0218457
"715 Hamlin Street Northeast, Washington, DC",38.9272869,-76.9954399
"1417 Chapin Street Northwest, Washington, DC",38.921816,-77.0328483
"2531 I Street Northwest, Washington, DC",38.9008836,-77.05452369999999
"1839 A Street Southeast, Washington, DC",38.888409,-76.977638
"3614 12th Street Northeast, Washington, DC",38.9339887,-76.9913421
"3100 Connecticut Avenue Northwest, Washington, DC",38.9306962,-77.05658129999999
"3616 Connecticut Avenue Northwest, Washington, DC",38.9374433,-77.05987069999999
"1717 P Street Northwest, Washington, DC",38.9098206,-77.0395127
"1018 Florida Avenue Northeast, Washington, DC",38.9037913,-76.9921404
"1425 4th Street Southwest, Washington, DC",38.8727407,-77.0187079
"1108 Fairmont Street Northwest, Washington, DC",38.9245261,-77.0274913
"50 Florida Avenue Northeast, Washington, DC",38.9104567,-77.0075969
"3839 Rodman Street Northwest, Washington, DC",38.9392333,-77.0764973
"2111 Wisconsin Avenue Northwest, Washington, DC",38.9181156,-77.0687315
"3960 Langley Court Northwest, Washington, DC",38.9365197,-77.0784453
"1212 Delafield Place Northwest, Washington, DC",38.9487988,-77.0283573
"1930 New Hampshire Avenue Northwest, Washington, DC",38.9163682,-77.03753979999999
"549 45th Street Northeast, Washington, DC",38.8969245,-76.9374899
"1671 Fort Dupont Street Southeast, Washington, DC",38.8650871,-76.9460654
"777 7th Street Northwest, Washington, DC",38.8994313,-77.0215669
"3102 Banneker Drive Northeast, Washington, DC",38.9242498,-76.9616058
"23 Q Street Northeast, Washington, DC",38.9109195,-77.0078542
"2206 1st Street Northwest, Washington, DC",38.9194784,-77.0124208
"1727 Massachusetts Avenue Northwest, Washington, DC",38.9088353,-77.0398501
"2500 Q Street Northwest, Washington, DC",38.9103711,-77.0520839
"5551 Illinois Avenue Northwest, Washington, DC",38.957107,-77.027615
"317 10th Street Northeast, Washington, DC",38.894102,-76.99243249999999
"1318 35th Street Northwest, Washington, DC",38.9072264,-77.0692856
"1303 Clifton Street Northwest, Washington, DC",38.9226669,-77.030041
"1442 Corcoran Street Northwest, Washington, DC",38.9116839,-77.03366799999999
"607 Browns Court Southeast, Washington, DC",38.8880377,-76.9976407
"2920 Georgia Avenue Northwest, Washington, DC",38.927693,-77.0234229
"712 Marietta Place Northwest, Washington, DC",38.95908470000001,-77.0230266
"1465 Harvard Street Northwest, Washington, DC",38.926659,-77.034746
"1879 Channing Street Northeast, Washington, DC",38.921899,-76.97681899999999
"3609 38th Street Northwest, Washington, DC",38.938082,-77.07588299999999
"509 M Street Northeast, Washington, DC",38.9054193,-76.9990231
"1300 Kenyon Street Northwest, Washington, DC",38.929439,-77.02988669999999
"1715 15th Street Northwest, Washington, DC",38.9132595,-77.03407
"4301 Massachusetts Avenue Northwest, Washington, DC",38.9366831,-77.0831187
