building_address,latitude,longitude
"1500 Massachusetts Ave NW, Washington, DC",38.90646479999999,-77.0355333
"4411 Connecticut Ave NW, Washington, DC",38.9462151,-77.0640466
"3003 Van Ness St NW, Washington, DC",38.9437227,-77.06123339999999
"100 K Street Northeast, Washington, DC",38.90286469999999,-77.0053473
"455 I St NW, Washington, DC",38.9015012,-77.0180106
"4850 Connecticut Ave NW, Washington, DC",38.9528562,-77.0689033
"2000 N St NW, Washington, DC",38.9070561,-77.04540000000001
"3700 Massachusetts Ave NW, Washington, DC",38.9277757,-77.07380479999999
"2601 Woodley Pl NW, Washington, DC",38.9238808,-77.0501949
"2501 Porter St NW, Washington, DC",38.9354574,-77.0539728
"2727 29th St NW, Washington, DC",38.92426469999999,-77.05687619999999
"1616 18th St NW, Washington, DC",38.91220029999999,-77.0419415
"425 Massachusetts Ave NW, Washington, DC",38.9008429,-77.0170211
"2400 M St NW, Washington, DC",38.9051335,-77.05217429999999
"1210 Massachusetts Ave NW, Washington, DC",38.904179,-77.028713
"2121 First Street SW, Washington, DC",38.8637898,-77.01219019999999
"1250 Half Street Southeast, Washington, DC",38.8755411,-77.0072738
"201 I St NE, Washington, DC",38.9009036,-77.0032763
"1331 Maryland Avenue Southwest, Washington, DC",38.8840965,-77.0310022
"555 E Street Southwest, Washington, DC",38.88370889999999,-77.01954649999999
"22 M Street Northeast, Washington, DC",38.9058072,-77.0080712
"1270 4th Street Northeast, Washington, DC",38.9088436,-76.9996768
"1315 W St NW, Washington, DC",38.9194337,-77.0309888
"950 Maine Ave SW, Washington, DC",38.880499,-77.0254582
"2512 Q St NW, Washington, DC",38.9102773,-77.05332779999999
"222 M Street Southwest, Washington, DC",38.87628,-77.0147471
"1441 U Street Northwest, Washington, DC",38.9172121,-77.0335448
"1825 7th St NW, Washington, DC",38.9149324,-77.02160359999999
"625 H St NE, Washington, DC",38.899752,-76.997337
"1011 1st St SE, Washington, DC",38.8781716,-77.006202
"1550 7th St NW, Washington, DC",38.9105063,-77.02222119999999
"61 Pierce Street, Washington, DC",38.9044341,-77.0073401
"1212 4th St SE, Washington, DC",38.8754425,-77.0000458
"301 Tingey St SE, Washington, DC",38.8743259,-77.0014099
"1631 S St NW, Washington, DC",38.9142605,-77.03814090000002
"1722 19th St NW, Washington, DC",38.913425,-77.043635
"910 15th St NW, Washington, DC",38.901713,-77.0349427
"2101 16th St NW, Washington, DC",38.9186199,-77.0361991
"2 I Street Southeast, Washington, DC",38.8797539,-77.0082704
"130 M St NE, Washington, DC",38.9058395,-77.0049899
"949 First Street SE, Washington, DC",38.8788507,-77.0060462
"82 I St SE, Washington, DC",38.8796101,-77.0055709
"1631 Kalorama Rd NW, Washington, DC",38.921983,-77.038243
"1400 20th St NW, Washington, DC",38.90904099999999,-77.0451291
"1001 4th St SW, Washington, DC",38.8784654,-77.0178531
"1011 4th St NW, Washington, DC",38.9034401,-77.01598609999999
"3032 Rodman Street Northwest, Washington, DC",38.9381593,-77.0616588
"1901 C Street SE, Washington, DC",38.885348,-76.9772852
"3801 Georgia Ave NW, Washington, DC",38.9378932,-77.02428619999999
"315 H Street Northeast, Washington, DC",38.899916,-77.001414
"515 9th Street NW, Washington, DC",38.8967892,-77.0237976
"1234 Massachusetts Ave NW, Washington, DC",38.9041649,-77.0293694
"965 Florida Avenue Northwest, Washington, DC",38.91955979999999,-77.02480349999999
"1263 First Street Southeast, Washington, DC",38.87507,-77.006241
"71 Potomac Avenue Southeast, Washington, DC",38.8710407,-77.0076706
"1350 R St NW, Washington, DC",38.912407,-77.03164799999999
"901 W Street Northwest, Washington, DC",38.9192987,-77.0252264
"880 P St NW, Washington, DC",38.9094062,-77.0234586
"1401 S St NW, Washington, DC",38.9142544,-77.0322709
"400 8th St NW, Washington, DC",38.8949683,-77.0232515
"565 Pennsylvania Ave NW, Washington, DC",38.8932943,-77.019652
"3401 Idaho Ave NW, Washington, DC",38.9351917,-77.0735169
"770 Maine Ave SW, Washington, DC",38.8793468,-77.0241011
"425 L St NW, Washington, DC",38.9040838,-77.0173339
"1717 R St NW, Washington, DC",38.91292139999999,-77.03918290000001
"3900 16th St NW, Washington, DC",38.9393416,-77.03715129999999
"1830 R Street Northwest, Washington, DC",38.912446,-77.043218
"1610 16th St NW, Washington, DC",38.9114808,-77.0369714
"2700 Woodley Rd NW, Washington, DC",38.9251494,-77.0557718
"1150 4th St SW, Washington, DC",38.877445,-77.01627859999999
"510 21st St NW, Washington, DC",38.8964599,-77.04699389999999
"901 H Street Northeast, Washington, DC",38.89988,-76.99378399999999
"1221 Half Street Southeast, Washington, DC",38.8755222,-77.0075121
"6939 Georgia Ave NW, Washington, DC",38.9749544,-77.0265354
"733 15th St NW, Washington, DC",38.899862,-77.0330295
"1425 P St NW, Washington, DC",38.9098684,-77.03286370000001
"1445 P St NW, Washington, DC",38.9098924,-77.0335528
"5521 Colorado Ave NW, Washington, DC",38.9569006,-77.0321134
"1315 Clifton Street Northwest, Washington, DC",38.9227908,-77.0306964
"2101 Wisconsin Avenue Northwest, Washington, DC",38.91771,-77.06833
"6101 16th St NW, Washington, DC",38.964818,-77.03560449999999
"2228 Martin Luther King Junior Avenue Southeast, Washington, DC",38.863372,-76.990414
"1357 R Street, Washington, DC",38.9127472,-77.0312844
"2144 California St NW, Washington, DC",38.9160456,-77.0483059
"35 E St NW, Washington, DC",38.8963903,-77.01062689999999
"200 Rhode Island Ave NE, Washington, DC",38.9191422,-77.00321009999999
"2112 New Hampshire Ave NW, Washington, DC",38.9190021,-77.0353521
"4500 Connecticut Ave NW, Washington, DC",38.9480819,-77.06638509999999
"2416 K Street Northwest, Washington, DC",38.9021445,-77.0520793
"806 Channing Pl NE, Washington, DC",38.9232032,-76.9943223
"1401 New York Ave NE, Washington, DC",38.9152436,-76.9840121
"3750 Jamison Street NE, Washington, DC",38.9248262,-76.95185099999999
"1921 Kalorama Rd NW, Washington, DC",38.919484,-77.0460571
"6918 Willow St NW, Washington, DC",38.9737864,-77.0147489
"3210 Wisconsin Ave NW, Washington, DC",38.9323836,-77.07304040000001
"1930 Columbia Rd NW, Washington, DC",38.918159,-77.0449776
"1101 New Hampshire Ave NW, Washington, DC",38.9039873,-77.048126
"825 New Hampshire Ave NW, Washington, DC",38.90022800000001,-77.05181400000001
"2730 Wisconsin Ave NW, Washington, DC",38.9259847,-77.0734039
"300 L St NE, Washington, DC",38.9039762,-77.0017015
"1700 Harvard St NW, Washington, DC",38.9269736,-77.04043279999999
"1415 Rhode Island Ave NW, Washington, DC",38.9087289,-77.0326434
"1401 N St NW, Washington, DC",38.90732149999999,-77.0322376
"5100 Connecticut Avenue Northwest, Washington, DC",38.956116,-77.070792
"3206 Wisconsin Ave NW, Washington, DC",38.9320526,-77.0729504
"4900-20 Fort Totten Dr NE, Washington, DC",38.9506266,-77.007573
"3725 Macomb St NW, Washington, DC",38.933738,-77.0736699
"2620 16th Street Northwest, Washington, DC",38.9238151,-77.03683869999999
"79 Potomac Ave SE, Washington, DC",38.871234,-77.0072947
"1925 14th Street Northwest, Washington, DC",38.9165822,-77.0317527
"1919 3rd Street Northwest, Washington, DC",38.9165323,-77.0155587
"2901 Connecticut Ave NW, Washington, DC",38.928307,-77.05388289999999
"211 Elm Street Northwest, Washington, DC",38.9178955,-77.0148389
"2800 Quebec St NW, Washington, DC",38.9362951,-77.0556984
"4849 Connecticut Ave NW, Washington, DC",38.952981,-77.0682288
"1600 Maryland Ave NE, Washington, DC",38.9015874,-76.98073289999999
"2701 Calvert St NW, Washington, DC",38.9235305,-77.05637759999999
"4510 2nd St NE, Washington, DC",38.9443208,-77.0039287
"1777 Columbia Road Northwest, Washington, DC",38.9232962,-77.0420078
"33 N St NE, Washington, DC",38.9070287,-77.00777550000001
"1100 1st St SE, Washington, DC",38.8772468,-77.0056159
"3146 16th St NW, Washington, DC",38.9299814,-77.0370438
"2601 Virginia Ave NW, Washington, DC",38.900282,-77.05533199999999
"1225 22nd St NW, Washington, DC",38.9062207,-77.0488022
"1475 Euclid St NW, Washington, DC",38.9236153,-77.03499219999999
"1812 23rd St SE, Washington, DC",38.8674213,-76.9731292
"1702 Summit Pl NW, Washington, DC",38.9264691,-77.0403898
"3213 Wisconsin Avenue, Washington, DC",38.9330665,-77.07208960000001
"100 Fort Drive Northeast, Washington, DC",38.941152,-77.005166
"2445 15th Street Northwest, Washington, DC",38.9228231,-77.03508219999999
"2100 Maryland Ave NE, Washington, DC",38.9044956,-76.9735377
"2101 New Hampshire Ave NW, Washington, DC",38.91837960000001,-77.0348123
"2 Forrester St SE, Washington, DC",38.8252896,-77.0062233
"4530 Connecticut Ave NW, Washington, DC",38.9490248,-77.0669247
"1701 Massachusetts Ave, Washington, DC",38.9084307,-77.0387726
"2013 New Hampshire Ave NW, Washington, DC",38.9174876,-77.035442
"4550 Connecticut Ave. NW, Washington, DC",38.9495162,-77.0670146
"2702 Wisconsin Ave NW, Washington, DC",38.9249923,-77.0736699
"2701 Connecticut Ave NW, Washington, DC",38.9257251,-77.0524448
"2800 Woodley Rd NW, Washington, DC",38.9256994,-77.0570638
"1301 Vermont Ave NW, Washington, DC",38.9075184,-77.0306356
"3800 14th St NW, Washington, DC",38.9382124,-77.0335218
"1707 Columbia Rd NW, Washington, DC",38.9251044,-77.0396702
"1673 Columbia Rd NW, Washington, DC",38.9253444,-77.0389505
"2200 19th Street Northwest, Washington, DC",38.9192122,-77.0450676
"1414 17th St NW, Washington, DC",38.9092055,-77.0388605
"2620 13th St NW, Washington, DC",38.9242518,-77.02995419999999
"2633-2645 Naylor Road Southeast, Washington, DC",38.8624367,-76.97026939999999
"4115 Wisconsin Avenue Northwest, Washington, DC",38.9429103,-77.076478
"601 24th Street Northwest, Washington, DC",38.8980763,-77.0511597
"816 E St NE, Washington, DC",38.8963692,-76.9939677
"2426 19th Street Northwest, Washington, DC",38.9215904,-77.04623699999999
"1221 Van Street Southeast, Washington, DC",38.8750067,-77.00844860000001
"880 New Jersey Ave SE, Washington, DC",38.8796739,-77.0043561
