id,description,quantity,unit.name,quantity.$numberLong,releases.date,releases.id,releases.contracts.value.amount,releases.contracts.value.currency
1,Suministro de Tiquetes Aéreos.,1.0,Unidad,,2018-01-22T00:00:00.000Z,24789,224120000,COP
1,pap02--Suministro de papelería y útiles de oficina - Bogotá,1.0,Unidad,,2018-01-22T00:00:00.000Z,24790,140826939,COP
1,2.1.243.1 Oracle Cloud Services (PaaS) Oracle Cloud Services_PaaS Oracle PaaS and IaaS Universal Cre,151239296.0,Unidad,,2018-01-22T00:00:00.000Z,24791,226858935,COP
2,0.1 Soporte,1.0,Unidad,,2018-01-22T00:00:00.000Z,24791,226858935,COP
3,0.2 IVA,1.0,Unidad,,2018-01-22T00:00:00.000Z,24791,226858935,COP
4,2.1.243.1 Oracle Cloud Services (PaaS) Oracle Cloud Services_PaaS Oracle PaaS and IaaS Universal Cre,75619648.0,Unidad,,2018-01-22T00:00:00.000Z,24791,226858935,COP
1,Soporte Técnico y Actualización,1.0,Unidad,,2018-01-22T00:00:00.000Z,24792,618186976,COP
1,Soporte Técnico y Actualización,1.0,Unidad,,2018-01-22T00:00:00.000Z,24793,77386643,COP
1,cnt02--Gestión de Seguridad -  Appliance de Seguridad - Baja Capacidad - Región 1 - Nivel de servici,9.0,Mes,,2018-01-22T00:00:00.000Z,24794,9883506,COP
2,cnt02--IVA,1.0,Unidad,,2018-01-22T00:00:00.000Z,24794,9883506,COP
3,cnt02--Instalación,1.0,Unidad,,2018-01-22T00:00:00.000Z,24794,9883506,COP
1,pap02--Suministro de papelería y útiles de oficina - Medellín,1.0,Unidad,,2018-01-24T00:00:00.000Z,24843,11283821,COP
1,Soporte Técnico y Actualización,1.0,Unidad,,2018-01-24T00:00:00.000Z,24848,76603708,COP
1,ays02--R8 - Operario de aseo Tiempo Completo - 1,10.0,Mes,,2018-01-24T00:00:00.000Z,24847,22372902,COP
2,ays02--R8 - Bienes de Aseo y Cafetería,10.0,Unidad,,2018-01-24T00:00:00.000Z,24847,22372902,COP
3,ays02--R8 - Fumigación - 6671,4.0,Metro Cuadrado,,2018-01-24T00:00:00.000Z,24847,22372902,COP
4,"ays02--R8 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-24T00:00:00.000Z,24847,22372902,COP
5,ays02--R8 - Recargo por dotación especial,1.0,Unidad,,2018-01-24T00:00:00.000Z,24847,22372902,COP
6,ays02--R8 - AIU,1.0,Unidad,,2018-01-24T00:00:00.000Z,24847,22372902,COP
7,ays02--R8 - IVA,1.0,Unidad,,2018-01-24T00:00:00.000Z,24847,22372902,COP
1,AZUCAR MANUELITA BLANCA PAQUETE X 200 SOBRES Cod: 8469522,250.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
2,AROMATICA FRUTOS TROPICALES CAJA X 20 SOBRES Cod: 900501587,50.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
3,MEZCLADOR PLASTICO REDONDO PAQ X 1000UND Cod: 8490806,5.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
4,JARRA PLASTICA 1.5 LTR TROMOPLAST Cod: 8490708,1.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
5,Renamed duplicate id: 247678 FILTRO PARA GRECA TELA 1 LIBRA UNIDAD Cod: 8490699,24.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
6,Renamed duplicate id: 249178 SERVILLETA BLANCA 27.5X12 X150UN PARTIDA Cod: 900500756,10.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
7,CAFE OMA TRADICIONAL INSTITUCIONAL PAQUETE 500 GRS. Cod: 8469552,300.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
8,PLATO DARNEL ICOPOR PANDO BLANCO PEQUENO X 20 Cod: 8021882,10.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
9,Renamed duplicate id: 247776 CUCHARA PLASTICA GRANDE BLANCA PAQ X 100 Cod: 8490811,2.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
10,TENEDOR PLASTICO PEQUENO BLANCO X 100UND Cod: 8490891,4.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
11,VASO PLASTICO BLANCO 7OZ PAQUETE X 50 UN Cod: 8490975,10.0,Unidad,,2018-01-24T00:00:00.000Z,24844,4131925,COP
1,Soporte Técnico y Actualización,1.0,Unidad,,2018-01-24T00:00:00.000Z,24849,90137571,COP
1,Servicios Oracle (CCE-211-AG-2015),1.0,Unidad,,2018-01-24T00:00:00.000Z,24846,3606477,COP
1,Suministro de Tiquetes Aéreos.,1.0,Unidad,,2018-01-24T00:00:00.000Z,24850,225000000,COP
1,Servicios Oracle (CCE-211-AG-2015),1.0,Unidad,,2018-01-24T00:00:00.000Z,24851,28054265,COP
1,soa01--120 MOTOS 100 a 200c.c.,1.0,Unidad,,2018-01-24T00:00:00.000Z,24852,2183466,COP
